abox_Sk|585653795/143-204 abox
msxlx_Of|1176110272/109-170 msxlx
msxlx_Ta|XP_002108628.1/143-204 msxlx
msxlx_Dm|CG15696/94-155 msxlx
msxlx_c_hem|XLOC_013455/94-155 msxlx
msxlx_p_nak|g49450.t1/184-245 msxlx
msxlx_Ep|XP_020911940.1/89-150 msxlx
msxlx_Xb|g5705.t1/206-267 msxlx
msxlx_Pd|XP_027038872.1/87-148 msxlx
msxlx_Pd|XP_027038884.1/110-171 msxlx
msxlx_a_aur|scaffold2.g151.t1/104-165 msxlx
msxlx_Nv|NVE12977/102-163 msxlx
nk1_Bf|XP_002608319.1/214-275 nk1
nk1_Sk|269784915/205-266 nk1
nk1_Ct|ELT87635.1/2-63 nk1
nk1_Bf|XP_002608320.1/212-273 nk1
nk1_Of|1176087642/151-212 nk1
nk1_Pd|XP_027058792.1/149-210 nk1
nk1_Ad|XP_015768465.1/140-201 nk1
nk1_Sp|57527993/294-355 nk1
nk1_Pc|957832764/293-354 nk1
nk1_Hs|NKX1-1/296-357 nk1
nk1_Pa|g9990.t1/155-216 nk1
nk1_d_gig|g26538.t1/152-213 nk1
nk1_Hs|NKX1-2/163-224 nk1
nk1_Ac|524881723/640-701 nk1
nk1_Nv|NVE20899/145-206 nk1
nk1_Cg|762136510/169-230 nk1
nk1_Dm|slou/545-606 nk1
nk1_Ep|XP_020900243.1/148-209 nk1
nk1_La|919040808/203-264 nk1
nk1_Pa|g1852.t1/238-299 nk1
nk1_Ac|871229844/225-286 nk1
nk1_La|919040872/192-253 nk1
nk1_a_aur|scaffold85.g42.t1/132-193 nk1
nk1_m_vir|scaffold21.g122.t1/135-196 nk1
nk1_c_hem|XLOC_016820/135-196 nk1
nk1_Pa|g1853.t1/117-178 nk1
nk1_Ce|ceh-1/1-62 nk1
nk1_Hv|221118113/91-152 nk1
nk2-14_Sp|47551239/167-228 nk2-14
nk2-14_Cg|762078029/156-217 nk2-14
nk2-14_Ac|524864726/177-238 nk2-14
nk2-14_Bf|XP_002589194.1/33-94 nk2-14
nk2-14_Pa|g6843.t1/147-208 nk2-14
nk2-14_Hs|NKX2-4/189-250 nk2-14
nk2-14_Sk|259013348/149-210 nk2-14
nk2-14_Ci|74096093/201-262 nk2-14
nk2-14_p_nak|g22095.t1/168-229 nk2-14
nk2-14_Ce|ceh-27/98-159 nk2-14
nk2-14_p_nak|g34986.t1/198-259 nk2-14
nk2-14_Ce|ceh-24/150-211 nk2-14
nk2-14_Ct|ELT98863.1/1-62 nk2-14
nk2-14_Pd|XP_027038910.1/107-168 nk2-14
nk2-14_Of|1176110266/97-158 nk2-14
nk2-14_Dm|scro/253-314 nk2-14
nk2-14_Pc|957819849/159-220 nk2-14
nk2-14_Ad|XP_015761303.1/98-159 nk2-14
nk2-14_Ct|ELT98862.1/8-69 nk2-14
nk2-14_m_vir|scaffold273.g2.t1/111-172 nk2-14
nk2-14_d_gig|g10022.t1/105-166 nk2-14
nk2-14_Ep|XP_020906909.1/72-133 nk2-14
nk2-14_Nv|NVE11289/115-176 nk2-14
nk2-14_Ep|XP_020906892.1/131-192 nk2-14
nk2-28_Ad|XP_015761309.1/98-159 nk2-28
nk2-28_Of|1176110270/97-158 nk2-28
nk2-28_Ad|XP_015761305.1/92-153 nk2-28
nk2-28_Pd|XP_027038904.1/98-159 nk2-28
nk2-28_d_gig|g12518.t1/104-165 nk2-28
nk2-28_d_gig|g10077.t1/96-157 nk2-28
nk2-28_Pd|XP_027038915.1/98-159 nk2-28
nk2-28_Nv|NVE10560/70-131 nk2-28
nk2-28_Of|1176110406/134-195 nk2-28
nk2-28_Ad|XP_015761313.1/114-175 nk2-28
nk2-28_Nv|NVE10557/92-153 nk2-28
nk2-28_Ep|XP_020906888.1/93-154 nk2-28
nk2-28_Nv|NVE10559/47-108 nk2-28
nk2-28_Ep|XP_020906890.1/84-145 nk2-28
nk2-28_Of|1176110278/73-134 nk2-28
nk2-28_Pd|XP_027038903.1/174-235 nk2-28
nk2-28_Of|1176110274/103-164 nk2-28
nk2-28_Pd|XP_027038905.1/105-166 nk2-28
nk2-28_Nv|NVE10555/95-156 nk2-28
nk2-28_Ce|ceh-22/189-250 nk2-28
nk2-28_Ad|XP_015761315.1/86-147 nk2-28
nk2-28_Ep|XP_020906884.1/88-149 nk2-28
nk2-28_p_nak|g22652.t1/123-184 nk2-28
nk2-28_m_vir|scaffold83.g2.t1/111-172 nk2-28
nk2-28_a_aur|scaffold23.g146.t1/129-190 nk2-28
nk2-28_La|919042721/156-217 nk2-28
nk2-28_d_gig|g12523.t1/86-147 nk2-28
nk2-28_c_hem|XLOC_043740/64-125 nk2-28
nk2-28_Ct|ELU04268.1/9-70 nk2-28
nk2-28_Ct|ELU04267.1/184-245 nk2-28
nk2-28_Pc|957845313/217-278 nk2-28
nk2-28_Hs|NKX2-2/128-189 nk2-28
nk2-28_m_vir|scaffold46.g33.t1/64-125 nk2-28
nk2-28_Hs|NKX2-8/84-145 nk2-28
nk2-28_Dm|vnd/545-606 nk2-28
nk2-28_Bf|XP_002589199.1/156-217 nk2-28
nk2-28_Sp|193788675/242-303 nk2-28
nk2-28_Sk|259013394/203-264 nk2-28
nk2-28_Pa|g9521.t1/144-205 nk2-28
nk2-28_Ac|524913182/104-165 nk2-28
nk2-28_Cg|762109467/148-209 nk2-28
nk2-28_Hv|828212046/18-79 nk2-28
nk2-28_a_aur|scaffold23.g148.t1/68-129 nk2-28
nk2-5_Sk|585655295/155-216 nk2-5
nk2-5_Cg|762143481/187-248 nk2-5
nk2-5_Hs|NKX2-3/148-209 nk2-5
nk2-5_Ci|118344270/398-459 nk2-5
nk2-5_La|919082742/177-238 nk2-5
nk2-5_Bf|XP_002610435.1/124-185 nk2-5
nk2-5_Pa|g9992.t1/218-279 nk2-5
nk2-5_Hs|NKX2-5/138-199 nk2-5
nk2-5_Pc|957851687/159-220 nk2-5
nk2-5_Hs|NKX2-6/132-193 nk2-5
nk2-5_Xb|g13525.t1/136-197 nk2-5
nk2-5_Ac|524875021/307-368 nk2-5
nk2-5_Ct|ELT97079.1/165-226 nk2-5
nk2-5_Pd|XP_027041575.1/157-218 nk2-5
nk2-5_Of|1176105848/156-217 nk2-5
nk2-5_Ad|XP_015770670.1/157-218 nk2-5
nk2-5_Ep|XP_020899871.1/150-211 nk2-5
nk2-5_Ct|ELT97078.1/115-176 nk2-5
nk2-5_Sp|72015860/183-244 nk2-5
nk2-5_d_gig|g31122.t1/138-199 nk2-5
nk2-5_Nv|NVE24920/112-173 nk2-5
nk2-5_c_hem|XLOC_009058/199-260 nk2-5
nk2-5_m_vir|scaffold11.g115.t1/121-182 nk2-5
nk2-5_Ce|ceh-28/104-165 nk2-5
nk2-5_Hv|221114911/179-240 nk2-5
nk2-5_Dm|tin/301-362 nk2-5
nk3_Of|1176105858/125-186 nk3
nk3_Pd|XP_027041576.1/124-185 nk3
nk3_Ad|XP_015770671.1/126-187 nk3
nk3_Ep|XP_020899872.1/125-186 nk3
nk3_Nv|NVE24919/130-191 nk3
nk3_Bf|XP_002610434.1/138-199 nk3
nk3_Ci|699245575/161-222 nk3
nk3_Cg|762149876/116-177 nk3
nk3_Hs|NKX3-2/206-267 nk3
nk3_Hs|NKX3-1/49-110 nk3
nk3_Ct|ELT97082.1/1-62 nk3
nk3_Sp|390342340/283-344 nk3
nk3_La|919082755/212-273 nk3
nk3_Dm|bap/175-236 nk3
nk3_Ac|871266163/392-453 nk3
nk3_Pc|957864941/15-76 nk3
nk6_Ce|cog-1/169-230 nk6
nk6_La|919055252/190-251 nk6
nk6_Dm|HGTX/392-453 nk6
nk6_Sp|72011193/191-252 nk6
nk6_Pa|g948.t1/179-240 nk6
nk6_Cg|762111475/164-225 nk6
nk6_Ac|524865811/219-280 nk6
nk6_Bf|XP_002609070.1/159-220 nk6
nk6_Hs|NKX6-1/236-297 nk6
nk6_Ci|198429111/181-242 nk6
nk6_p_nak|g13256.t1/380-441 nk6
nk6_Hs|NKX6-2/148-209 nk6
nk6_Sk|269784917/156-217 nk6
nk6_Pd|XP_027058930.1/124-185 nk6
nk6_Of|1176061486/172-233 nk6
nk6_Ep|XP_020900242.1/126-187 nk6
nk6_Nv|NVE18161/158-219 nk6
nk6_d_gig|g26519.t1/143-204 nk6
nk6_Pc|957839200/211-272 nk6
nk6_Ad|XP_015757979.1/127-188 nk6
nk6_a_aur|scaffold17.g149.t1/204-265 nk6
nk6_m_vir|scaffold42.g46.t1/132-193 nk6
nk6_Ct|ELT92066.1/13-74 nk6
nk7_Of|1176088067/115-176 nk7
nk7_Cg|762168748/147-208 nk7
nk7_Ct|ELT91428.1/21-82 nk7
nk7_Pa|g18657.t1/285-346 nk7
nk7_Ad|XP_015770708.1/120-181 nk7
nk7_Pd|XP_027039738.1/115-176 nk7
nk7_La|919019477/194-255 nk7
nk7_Ac|524871911/203-264 nk7
nk7_Bf|XP_002609069.1/148-209 nk7
nk7_Sp|390349352/215-276 nk7
nk7_Sk|585710063/194-255 nk7
nk7_Ep|XP_020900248.1/117-178 nk7
nk7_Nv|NVE18160/109-170 nk7
nk7_Ce|ceh-9/70-131 nk7
nk7_Dm|NK7.1/393-454 nk7
nk7_Pc|957829156/114-175 nk7
nk7_d_gig|g32507.t1/134-195 nk7
noto_Hs|NOTO/156-217 noto
noto_d_gig|g26621.t1/159-220 noto
noto_Of|1176084910/144-205 noto
noto_Pd|XP_027055860.1/145-206 noto
noto_Sk|585709059/139-200 noto
noto_Bf|XP_002601133.1/180-241 noto
noto_Sp|780155675/292-353 noto
noto_Ci|459184016/175-236 noto
noto_Ad|XP_015769946.1/151-212 noto
noto_La|919045427/125-186 noto
noto_Ac|871206504/302-363 noto
noto_La|919045425/129-190 noto
noto_Cg|762076741/156-217 noto
noto_Ta|XP_002117397.1/152-213 noto
noto_Ep|XP_020900265.1/120-181 noto
noto_Pd|XP_027059809.1/147-208 noto
noto_Of|1176088052/143-204 noto
noto_Of|1176087868/155-216 noto
noto_Of|1176107346/121-182 noto
noto_Ad|XP_015753176.1/133-194 noto
noto_Pa|g1848.t1/111-172 noto
noto_Pd|XP_027059790.1/148-209 noto
noto_Of|1176087980/126-187 noto
noto_Ep|XP_020911083.1/163-224 noto
noto_Nv|NVE4967/110-171 noto
noto_Ad|XP_015762488.1/144-205 noto
noto_Ep|XP_020893187.1/128-189 noto
noto_Of|1176087966/124-185 noto
noto_Ad|XP_015762889.1/136-197 noto
noto_Nv|NVE12835/156-217 noto
noto_a_aur|scaffold1.g186.t1/232-293 noto
noto_Of|1176097000/126-187 noto
noto_Ep|XP_020907161.1/132-193 noto
noto_Pd|XP_027047010.1/122-183 noto
noto_Ad|XP_015754796.1/162-223 noto
noto_Pd|XP_027052905.1/131-192 noto
noto_Pd|XP_027059844.1/164-225 noto
noto_Of|1176088077/149-210 noto
noto_Pd|XP_027058781.1/117-178 noto
noto_m_vir|scaffold149.g55.t1/179-240 noto
noto_Nv|NVE2174/140-201 noto
noto_Ep|XP_020897055.1/139-200 noto
noto_Ad|XP_015768469.1/116-177 noto
noto_Hv|828228034/83-144 noto
noto_c_hem|XLOC_041744/127-188 noto
noto_c_hem|XLOC_044663/131-192 noto
noto_Pd|XP_027059766.1/146-207 noto
noto_Ce|ceh-7/23-84 noto
pdx_Sk|585710494/126-187 pdx
pdx_Sp|780188950/11-72 pdx
pdx_La|919061888/173-234 pdx
pdx_Cg|762087676/171-232 pdx
pdx_Pa|g6426.t1/175-236 pdx
pdx_Hs|PDX1/146-207 pdx
pdx_Ci|74096063/263-324 pdx
pdx_Ct|ELT98646.1/163-224 pdx
pdx_m_vir|scaffold189.g37.t1/173-234 pdx
pdx_a_aur|scaffold56.g35.t1/172-233 pdx
pdx_c_hem|XLOC_033828/274-335 pdx
pdx_Of|1176083741/140-201 pdx
pdx_Pd|XP_027042631.1/146-207 pdx
pdx_Ep|XP_020917531.1/111-172 pdx
rough_Sk|585693106/154-215 rough
rough_La|919022753/154-215 rough
rough_Pa|g10374.t1/129-190 rough
rough_Xb|g682.t1/316-377 rough
rough_Sp|780117841/247-308 rough
rough_Bf|XP_002592171.1/119-180 rough
rough_Ct|ELU07970.1/43-104 rough
rough_Ct|ELT93731.1/9-70 rough
rough_Pc|957816591/109-170 rough
rough_Nv|NVE21292/26-87 rough
rough_Cg|762131423/16-77 rough
rough_Ep|XP_020898723.1/115-176 rough
rough_Dm|ro/191-252 rough
rough_Pd|XP_027048316.1/110-171 rough
rough_d_gig|g16873.t1/122-183 rough
rough_Of|1176091703/110-171 rough
rough_p_nak|g4607.t1/130-191 rough
rough_Ce|ceh-62/130-191 rough
soemx_Of|1176075266/124-185 soemx
soemx_Ad|XP_015754829.1/124-185 soemx
soemx_Pd|XP_027041976.1/121-182 soemx
soemx_Ep|XP_020913928.1/121-182 soemx
soemx_a_aur|scaffold45.g22.t1/186-247 soemx
soemx_c_hem|XLOC_033108/171-230 soemx
soemx_d_gig|g26590.t1/119-180 soemx
soemx_Nv|NVE4528/57-118 soemx
soventx_Ep|XP_020892890.1/146-207 soventx
soventx_Ep|XP_020892849.1/151-212 soventx
soventx_Nv|NVE18255/136-197 soventx
soventx_Pd|XP_027052482.1/125-186 soventx
soventx_Of|1176087507/121-182 soventx
soventx_Pd|XP_027052858.1/127-188 soventx
soventx_Ad|XP_015772891.1/117-178 soventx
soventx_Of|1176087501/132-193 soventx
soventx_Ad|XP_015772882.1/149-210 soventx
soventx_Of|1176087354/138-199 soventx
soventx_Pd|XP_027053796.1/137-198 soventx
soventx_Pd|XP_027053695.1/134-195 soventx
soventx_Pd|XP_027053282.1/137-198 soventx
soventx_Of|1176087503/134-195 soventx
soventx_Ad|XP_015772890.1/149-210 soventx
soventx_Ad|XP_015772887.1/142-203 soventx
soventx_Of|1176087402/126-187 soventx
soventx_Pd|XP_027059962.1/138-199 soventx
ssoemx_d_gig|g26814.t1/97-157 ssoemx
ssoemx_d_gig|g32499.t1/86-147 ssoemx
ssoemx_d_gig|g26813.t1/84-145 ssoemx
ssoemx_d_gig|g26816.t1/100-160 ssoemx
ssoemx_Pd|XP_027043211/98-159 ssoemx
ssoemx_Of|1176079935/97-158 ssoemx
ssoemx_Nv|NVE4495/120-181 ssoemx
ssoemx_Ep|XP_020898175/87-148 ssoemx
ssoemx_ast|STRG.20734 ssoemx
tlx_Ci|118344030/362-423 tlx
tlx_Pc|957829166/127-188 tlx
tlx_p_nak|g6018.t1/248-309 tlx
tlx_Sk|259013319/148-209 tlx
tlx_Cg|762080006/148-209 tlx
tlx_Bf|XP_002609066.1/123-184 tlx
tlx_Sp|390363115/205-266 tlx
tlx_La|919082757/163-224 tlx
tlx_Hs|TLX1/213-274 tlx
tlx_Hs|TLX2/157-218 tlx
tlx_Hs|TLX3/166-227 tlx
tlx_Dm|C15/217-278 tlx
tlx_Pa|g1839.t1/193-254 tlx
tlx_Ct|ELT91422.1/200-261 tlx
tlx_Xb|g13342.t1/135-196 tlx
tlx_Cg|762080004/154-215 tlx
vax_Sk|259013329/147-208 vax
vax_Xb|g13624.t1/30-91 vax
vax_Cg|762128310/66-127 vax
vax_Pc|957816801/24-85 vax
vax_Hs|VAX1/100-161 vax
vax_Hs|VAX2/102-163 vax
vax_Pa|g11943.t1/41-102 vax
vax_Ac|871214257/47-108 vax
